MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
toni erdmann,maren ade,"peter simonischek,sandra hüller","alexandru papadopol,anna maria bergold,hadewych minis,ingrid bisu,ingrid burkhard,ioan brancu,jürg löw,lucy russell,manuela ciucur,michael wittenborn,nicolas wackerbarth,niels bormann,peter simonischek,radu banzaru,ruth reinecke,sandra hüller,thomas loibl,trystan pütter,victoria cocias,victoria malektorovych,vlad ivanov"
yi yi,edward yang,nien-jen wu,"adriene lin,an-an hsu,chuan-cheng tao,elaine jin,hsi-sheng chen,hsin-yi tseng,issei ogata,jonathan chang,kelly lee,pang chang yu,ru-yun tang,shu-shen hsiao,shu-yuan hsu,su-yun ko,yiwen chen,yung-feng lee"
mccabe & mrs. miller,robert altman,"bert remsen,corey fischer,john schuck,julie christie,keith carradine,michael murphy,rené auberjonois,shelley duvall,warren beatty,william devane","antony holland,hugh millais,jace van der veen,jackie crossland,manfred schulz"
the best years of our lives,william wyler,"cathy o'donnell,dana andrews,fredric march,gladys george,harold russell,hoagy carmichael,myrna loy,roman bohnen,teresa wright,virginia mayo","dorothy adams,minna gombell,ray collins,steve cochran,walter baldwin"
stagecoach,john ford,"andy devine,berton churchill,claire trevor,donald meek,george bancroft,john carradine,john wayne,louise platt,thomas mitchell,tim holt","chief john big tree,dorothy appleby,frank baker,ted billings,tom tyler"
inside llewyn davis,"ethan coen,joel coen","carey mulligan,garrett hedlund,john goodman,justin timberlake,oscar isaac","adam driver,alex karpovsky,antonio e. moreno,bradley mott,carey mulligan,ethan phillips,f. murray abraham,frank ridley,garrett hedlund,genevieve adams,helen hong,jake ryan,james colby,jeanine serralles,jerry grayson,joel brody,john goodman,justin timberlake,max casella,mike houston,oscar isaac,ricardo cordero,robin bartlett,stark sands"
sherpa,jennifer peedom,,
there will be blood,paul thomas anderson,daniel day-lewis,"barry del sherman,coco leigh,dillon freasier,erica sullivan,harrison taylor,jacob stringer,jim meskimen,joseph mussey,kevin breznahan,martin stringer,matthew braden stringer,paul f. tompkins,randall carver,stockton taylor"
badlands,terrence malick,"martin sheen,sissy spacek","alan vint,ben bravo,bryan montgomery,charles fitzpatrick,dona baldwin,emilio estevez,gail threlkeld,gary littlejohn,howard ragsdale,john carter,john womack jr.,ramon bieri,warren oates"
the last picture show,peter bogdanovich,"ben johnson,cloris leachman,clu gulager,cybill shepherd,eileen brennan,ellen burstyn,jeff bridges,sam bottoms,sharon ullrick,timothy bottoms","barc doyle,bill thurman,jessie lee fulton,joe heathcock,randy quaid"
do the right thing,spike lee,"danny aiello,ossie davis,ruby dee","bill nunn,frankie faison,giancarlo esposito,john savage,john turturro,joie lee,miguel sandoval,paul benjamin,richard edson,rick aiello,robin harris,spike lee"
sita sings the blues,nina paley,,"aladdin ullah,annette hanshaw,aseem chhabra,bhavana nagulapally,debargo sanyal,deepti gupta,manish acharya,nina paley,nitya vidyasagar,pooja kumar,reena shah,sanjiv jhaveri"
the decline of western civilization,penelope spheeris,"alice bag,alice bag band,black flag,circle jerks,claude bessy,darby crash,dinah cancer,don bolles,exene cervenka,philo cramer","bill gazzarri,fear,frank gargani,john doe,lorna doom"
rio bravo,howard hawks,"angie dickinson,claude akins,dean martin,estelita rodriguez,john russell,john wayne,pedro gonzalez gonzalez,ricky nelson,walter brennan,ward bond","frank balderrama,fred aldrich,harry carey jr.,malcolm atterbury,sheb wooley"
brother's keeper,"bruce sinofsky,joe berlinger","dave goff,delbert ward,harry thurston,john teeple,joseph f. loszynski,ken elmer,lyman ward,ralph a. cognetti,roscoe ward,walt geisler","connie chung,donald f. cerio,john w. graham,maynard a. cosnett,robert j. killough"
crumb,terry zwigoff,robert crumb,"aline kominsky,beatrice crumb,bill griffith,charles crumb,dana morgan,deirdre english,don donahue,kathy goodell,martin müller,maxon crumb,peggy orenstein,robert hughes,spain rodriguez,trina robbins"
spotlight,thomas mccarthy,"john slattery,liev schreiber,mark ruffalo,michael keaton,rachel mcadams,stanley tucci","billy crudup,brian d'arcy james,christopher gallagher,dallas peplow,doug murray,duane murray,elena juatco,elena wohl,faith fay,gary galone,gene amoroso,jamey sheridan,john slattery,lana antonova,len cariou,liev schreiber,london hall,mark ruffalo,michael cyril creighton,michael keaton,neal huff,paul guilfoyle,rachel mcadams,rob deleeuw,robert b. kennedy,sharon mcfarlane,shawn contois,stanley tucci,stefanie drummond,zarrin darnell-martin"
the band wagon,vincente minnelli,"cyd charisse,fred aldrich,fred astaire,india adams,jack buchanan,james mitchell,nanette fabray,oscar levant,richard alexander,robert gist","barbara bailey,brandon beach,ernest anderson,lysa baugher,patsy bangs"
one more time with feeling,andrew dominik,,"nick cave,nick cave & the bad seeds,nick cave & the bad seeds,warren ellis"
the diving bell and the butterfly,julian schnabel,"emmanuelle seigner,marie-josée croze,mathieu amalric","anne consigny,fiorella campanella,gérard watkins,isaach de bankolé,jean-pierre cassel,marina hands,max von sydow,niels arestrup,olatz lópez garmendia,patrick chesnais,talina boyaci,théo sampaio"
invasion of the body snatchers,don siegel,"carolyn jones,dana wynter,jean willes,kenneth patterson,kevin mccarthy,king donovan,larry gates,ralph dumke,tom fadden,virginia christine","beatrice maude,bobby clark,eileen stevens,guy way,jean andren"
the class,laurent cantet,françois bégaudeau,"agame malembo-emene,angélica sancio,arthur fogel,boubacar toure,burak özyilmaz,carl nanor,cherif bounaïdja rachedi,dalla doucoure,damien gomes,esmeralda ouertani,eva paradiso,henriette kasaruhanda,juliette demaille,justine wu"
platoon,oliver stone,"tom berenger,willem dafoe","bob orwig,chris pedersen,corey glover,corkey ford,david neidorf,forest whitaker,francesco quinn,john c. mcginley,johnny depp,keith david,kevin dillon,mark moses,reggie johnson"
35 shots of rum,claire denis,,"adèle ado,alex descas,cheikh toure,david saada,djédjé apali,eriq ebouaney,grégoire colin,ingrid caven,jean-christophe folly,julieth mars toussaint,mario canonge,mary pie,mati diop,nicole dogue,stéphane pocrain"
apocalypse now: final cut,francis ford coppola,,
chinatown,roman polanski,"faye dunaway,jack nicholson,john huston","bruce glover,darrell zwerling,diane ladd,james hong,james o'rear,joe mantell,john hillerman,nandu hinds,perry lopez,richard bakalyan,roman polanski,roy jenson"
the florida project,sean baker,"aiden malik,bria vinaite,brooklynn prince,caleb landry jones,christopher rivera,edward pagan,jasineia ramos,jason blackwater,josie olivo,karren karagulian,macon blair,patti wiley,sandy kane,valeria cotto,willem dafoe","bria vinaite,bronwyn valley,brooklynn prince,caleb landry jones,carl bradfield,christopher rivera,gary b. gross,jason blackwater,jim coleman,jim r. coleman,karren karagulian,kelly fitzgerald,krystal nicole watts,macon blair,mela murder,rosa medina perez,sabina friedman-seitz,sandy kane,valeria cotto,willem dafoe"
timbuktu,abderrahmane sissako,"abel jafri,ibrahim ahmed,layla walet mohamed,mehdi a.g. mohamed,toulou kiki","abel jafri,adel mahmoud cherif,cheik a.g. emakni,fatoumata diawara,hichem yacoubi,ibrahim ahmed,kettly noël,layla walet mohamed,mamby kamissoko,mehdi a.g. mohamed,pino desperado,salem dendou,toulou kiki,weli cleib,yoro diakité,zikra oualet moussa"
frenzy,alfred hitchcock,"alec mccowen,anna massey,barbara leigh-hunt,barry foster,bernard cribbins,billie whitelaw,clive swift,jon finch,michael bates,vivien merchant","elsie randolph,gerald sim,jean marsh,john boxer,madge ryan"
brief encounter,david lean,"alfie bass,celia johnson,cyril raymond,everley gregg,joyce carey,margaret barton,marjorie mars,stanley holloway,trevor howard,wilfred babbage","noel coward,nuna davey,sydney bromley,valentine dyall,wallace bosco"
cool hand luke,stuart rosenberg,"clifton james,george kennedy,j.d. cannon,jo van fleet,lou antonio,luke askew,morgan woodward,paul newman,robert drivas,strother martin","dennis hopper,marc cavell,richard davalos,robert donner,warren finnerty"
little women,george cukor,"douglass montgomery,edna may oliver,frances dee,henry stephenson,jean parker,joan bennett,john lodge,katharine hepburn,paul lukas,spring byington","harry beresford,mabel colcord,marion ballou,nydia westman,samuel s. hinds"
maborosi,hirokazu koreeda,,"akira emoto,gohki kashiyama,hidekazu akai,hiromi ichida,kikuko hashimoto,makiko esumi,midori kiuchi,minori terada,mutsuko sakura,naomi watanabe,ren ôsugi,shuichi harada,tadanobu asano,takashi inoue,takashi naitô"
top hat,mark sandrich,"edward everett horton,eric blore,erik rhodes,fred astaire,ginger rogers,helen broderick,lucille ball,robert adair,tito blasco,tom brandon","gino corrado,lorinne crawford,phyllis coghlan,roy brent,tom costello"
apocalypse now redux,francis ford coppola,"marlon brando,martin sheen","albert hall,bo byers,dennis hopper,frederic forrest,g.d. spradlin,harrison ford,james keane,jerry ziesmer,kerry rossall,laurence fishburne,robert duvall,sam bottoms,scott glenn"
annie hall,woody allen,"diane keaton,woody allen","carol kane,christopher walken,colleen dewhurst,donald symington,helen ludlam,janet margolin,joan neuman,jonathan munk,mordecai lawner,paul simon,ruth volner,shelley duvall,tony roberts"
the lord of the rings: the fellowship of the ring,peter jackson,"andy serkis,elijah wood","alan howard,billy boyd,cate blanchett,christopher lee,ian holm,ian mckellen,lawrence makoare,mark ferguson,marton csokas,megan edwards,michael elsworth,noel appleby,orlando bloom,sala baker,sean astin,sean bean"
quiz show,robert redford,"john turturro,ralph fiennes","allan rich,christopher mcdonald,david paymer,elizabeth wilson,george martin,griffin dunne,hank azaria,johann carlo,michael mantell,mira sorvino,paul guilfoyle,paul scofield,rob morrow"
leviathan,andrei zvyagintsev,"aleksey serebryakov,roman madyanov,vladimir vdovichenkov,yelena lyadova","aleksey pavlov,aleksey rozin,aleksey serebryakov,alim bidnenko,alla emintseva,andrey belozerov,anna ukolova,dmitriy bykovskiy-romashov,elena lyadova,evgeniy yakunin,igor litovkin,igor savochkin,igor sergeev,irina graba,irina ryndina,irina vilkova,kristina pakarina,lesya kudryashova,natasha garustovich,olga lapshina,platon kamenev,roman madyanov,sergei borisov,sergey bachurskiy,sergey pokhodaev,valeriy grishko,vladimir lupanov,vladimir vdovichenkov,vyacheslav gonchar,yelena lyadova"
werckmeister harmonies,"ágnes hranitzky,béla tarr","lars rudolph,peter fitz","alfréd járai,djoko rosic,enikö börcsök,éva almássy albert,ferenc kállai,györgy barkó,hanna schygulla,irén szajki,jános derzsi,lajos dobák,mihály kormos,putyi horváth,tamás wichmann"
toy story 3,lee unkrich,"tim allen,tom hanks","blake clark,don rickles,emily hahn,estelle harris,joan cusack,jodi benson,john morris,john ratzenberger,laurie metcalf,michael keaton,ned beatty,teddy newton,wallace shawn"
this is spinal tap,rob reiner,"chazz dominguez,christopher guest,david kaff,harry shearer,kimberly stringer,michael mckean,r.j. parnell,rob reiner,shari hall,tony hendra","bruno kirby,chazz dominguez,danny kortchmar,david kaff,ed begley jr.,harry shearer,jean cromie,kimberly stringer,patrick maher,r.j. parnell,shari hall,tony hendra"
the look of silence,joshua oppenheimer,,
tower,keith maitland,,"aldo ordoñez,blair jackson,chris doubek,cole bee wilson,cole bresnehen,jeremy brown,john fitch,josephine mcadam,karen davidson,louie arnette,monty muir,reece everett ryan,séamus bolivar-ochoa,timothy lucas,vicky illk,violett beane"
the rider,chloé zhao,"brady jandreau,cat clifford,derrick janis,greg barber,james calhoon,lane scott,lilly jandreau,tanner langdeau,terri dawn pourier,tim jandreau","alan reddy,allen reddy,brady jandreau,cat clifford,derrick janis,james calhoon,jordon slick phelps,kevin hunter,lane scott,leroy pourier,lilly jandreau,marshal byrne,steven dewolfe,tanner langdeau,terri dawn pourier,tim jandreau"
moolaadé,ousmane sembene,,"aminata dao,bakaramoto sanogo,balla habib dembélé,cheick oumar maiga,dominique zeïda,fatoumata coulibaly,gustave sorgho,joseph traoré,mah compaoré,maimouna hélène diarra,modibo sangaré,ousmane konaté,rasmane ouedraogo,salimata traoré,théophile sowié"
atanarjuat: the fast runner,zacharias kunuk,"natar ungalaaq,sylvia ivalu","abraham ulayuruluk,alex uttak,apayata kotierk,eric nutarariaq,eugene ipkarnak,lucy tulugarjuk,luke taqqaugaq,madeline ivalu,mary qulitalik,neeve irngaut,pakak innuksuk,pauloosie qulitalik,peter-henry arnatsiaq"
time,garrett bradley,fox rich,
gavagai,rob tregenza,"amel ibisevic,andreas lust,anni-kristiina juuso,ask aygin gaup,edith søli,einar andreas søli,essra berge,halvor sandnes,hellek sandnes,ina nena schick,joakim nango,jostein a.b. sandvik,karin mustvedt-plüs,kim robin svartdal,marie helga helgetveit,marja susanne sipelä solvang,mikkel gaup,miriam berge,mona eiris,rune samuelsen,susan s. solvang,thomas tufte,tore dale","amel ibisevic,ask aygin gaup,edith søli,einar andreas søli,essra berge,halvor sandnes,hellek sandnes,ina nena schick,joakim nango,jostein a.b. sandvik,karin mustvedt-plüs,kim robin svartdal,marie helga helgetveit,marja susanne sipelä solvang,miriam berge,mona eiris,rune samuelsen,susan s. solvang,thomas tufte,tore dale"
the man who would be king,john huston,"albert moses,christopher plummer,doghmi larbi,jack may,karroom ben bouih,michael caine,mohammad shamsi,paul antrim,saeed jaffrey,sean connery","graham acres,nadia atbib,shakira caine,the blue dancers of goulamine,yvonne ocampo"
the killing,stanley kubrick,"coleen gray,elisha cook jr.,james edwards,jay c. flippen,joe sawyer,marie windsor,sterling hayden,ted de corsia,timothy carey,vince edwards","dorothy adams,herbert ellis,jay adler,kola kwariani,tito vuolo"
swing time,george stevens,"betty furness,eric blore,fred astaire,georges metaxa,ginger rogers,harry bernard,harry bowen,helen broderick,victor moore,william bailey","bill brande,jack chefe,martin cichy,ralph brooks,ralph byrd"
breaking away,peter yates,"dennis christopher,dennis quaid","amy wright,barbara barrie,daniel stern,david k. blase,hart bochner,jackie earle haley,jennifer k. mickel,john ashton,lisa shure,p.j. soles,paul dooley,peter maloney,robyn douglass"
the souvenir,joanna hogg,"alice mcmillan,chyna terrelonge-vaughan,fabrizio matteini,frankie wilson,hannah ashby ward,honor swinton-byrne,jack mcmullen,jake phillips head,james spencer ashworth,janet etuk,jaygann ayeh,neil young,richard ayoade,tilda swinton,tom burke,tosin cole","alice mcmillan,barbara peirson,chyna terrelonge-vaughan,crispin buxton,dick fontaine,fabrizio matteini,hannah ashby ward,jack w. gregory,jake phillips head,james barrett,james dodds,james spencer ashworth,janet etuk,jaz dalrymple,leonardo bozzo,richard tree,steve gough"
after life,hirokazu koreeda,,"arata,erika oda,hisako hara,kazuko shirakawa,kei tani,kôtarô shiga,kyôko kagawa,natsuo ishidô,sadao abe,sayaka yoshino,susumu terajima,takashi naitô,taketoshi naitô,tôru yuri,yûsuke iseya"
son of saul,lászló nemes,"géza röhrig,levente molnár,todd charmont,urs rechn","amitai kedar,attila fritz,balázs farkas,björn freiberg,christian harting,eszter csépai,gergö farkas,géza röhrig,jerzy walczak,juli jakab,kamil dobrowolski,levente molnár,levente orbán,marcin czarnik,mendy cahan,mihály kormos,sándor zsótér,todd charmont,urs rechn,uwe lauer"
love affair,leo mccarey,"astrid allwyn,charles boyer,ferike boros,irene dunne,lee bowman,maria ouspenskaya,mary bovard,maurice moscovitch,scotty beckett,tom dugan","bess flowers,carol hughes,dell henderson,joe gilbert,leyland hodgson"
frankenstein,james whale,"boris karloff,colin clive,dwight frye,edward van sloan,frederick kerr,john boles,lionel belmore,mae clarke,marilyn harris,ted billings","arletta duncan,francis ford,jack curtis,mae bruce,william dyer"
8½,federico fellini,"anouk aimée,barbara steele,caterina boratto,claudia cardinale,eddra gale,guido alberti,madeleine lebeau,marcello mastroianni,rossella falk,sandra milo","bruno agostini,cesarino miceli picardi,jean rougeul,mario conocchia,mario pisu"
little women,greta gerwig,"abby quinn,bob odenkirk,chris cooper,eliza scanlen,emma watson,florence pugh,james norton,jayne houdyshell,laura dern,louis garrel,meryl streep,saoirse ronan,timoth,tracy letts","abby quinn,adam desautels,brian daniels,chris cooper,domenic arduino,emily edström,eowyn young,hadley robinson,jamie ghazarian,jayne houdyshell,jen nikolaisen,kayla caulfield,ken holmes,lilly englert,louis garrel,maryann plunkett,mason alban,meryl streep,paul tawczynski,rafael silva,sasha frolova,stevie costa,tracy letts"
e.t. the extra-terrestrial,steven spielberg,"dee wallace,drew barrymore,erika eleniak,henry thomas,peter coyote","c. thomas howell,david berkson,david m. o'dell,dee wallace,erika eleniak,frank toth,k.c. martel,michael darrell,richard swingler,robert barton,robert macnaughton,sean frye"
the african queen,john huston,"errol john,gerald onn,humphrey bogart,katharine hepburn,peter bull,peter swanwick,richard marner,robert morley,theodore bikel,walter gotell",john von kotze
the triplets of belleville,sylvain chomet,"jean-claude donda,michel robin,michèle caucheteux,monica viegas","béatrice bonifassi,charles linton,lina boudreau,mari-lou gauthier"
the queen,stephen frears,"helen mirren,james cromwell","alex jennings,amanda hadingue,dolina maclennan,douglas reith,gray o'brien,john mcglynn,joyce henderson,lola peploe,pat laffan,robin soans,roger allam,sylvia syms,tim mcmullan"
all quiet on the western front,lewis milestone,"arnold lucy,ben alexander,john wray,lew ayres,louis wolheim,owen davis jr.,russell gleason,scott kolk,walter rogers,william bakewell","beryl mercer,g. pat collins,harold goodwin,richard alexander,slim summerville"
a bread factory part two: walk with me a while,patrick wang,"anni krueger,brian murray,chris conroy,elisabeth henry-macari,george young,glynnis o'connor,james chen,james marsters,janet hsieh,jessica pimentel,nana visitor,philip kerr,trevor st. john,tyne daly,zachary sayle","daniel borak,eugene brell,george young,jacqui anders,jake brinskele,keaton nigel cooke,leo heller,logan smith,martina arroyo,noah matthews"
never rarely sometimes always,eliza hittman,"amy tribbey,aurora richards,brett puglisi,carolina espiro,christian clements,daniel buneta,david buneta,deepti menon,denise pillott,drew seltzer,eliazar jimenez,guy a. fortt,kim rios lin,lester greene,rose elizabeth richards,ryan eggold,sam dugger,sharon van etten,sidney flanigan,talia ryder,théodore pellerin","alana barrett-adkins,alexander carney,amy tribbey,april szykeruk,aurora richards,brett puglisi,brian altemus,carolina espiro,deepti menon,denise pillott,drew seltzer,guy a. fortt,jingjing tian,john ballinger sr.,kim rios lin,lester greene,lizbeth mackay,luz ozuna,mia dillon,michael erik,rose elizabeth richards,ryan eggold,sidney flanigan"
the ladykillers,alexander mackendrick,"alec guinness,cecil parker,danny green,frankie howerd,herbert lom,jack warner,katie johnson,madge brindley,peter sellers,philip stainton","fred griffiths,harold goodwin,hélène burls,kenneth connor,michael corcoran"
young mr. lincoln,john ford,"alice brady,arleen whelan,donald meek,eddie collins,eddie quillan,henry fonda,judith dickens,marjorie weaver,pauline moore,richard cromwell","clarence wilson,eddy waller,spencer charters,tiny jones,ward bond"
stories we tell,sarah polley,"harry gulkin,john buchan,susy buchan","alex hatz,andrew church,cathy gulkin,deirdre bowen,geoffrey bowes,harry gulkin,john buchan,justin goodhand,peter evans,pixie bigelow,rebecca jenkins,robert macmillan,susy buchan,tom butler,victoria mitchell,wayne curnew"
a bread factory part one: for the sake of gold,patrick wang,"amy carlson,brian murray,elaine bromka,elisabeth henry-macari,george young,glynnis o'connor,james marsters,janeane garofalo,janet hsieh,jessica pimentel,nana visitor,philip kerr,trevor st. john,tyne daly,zachary sayle","aidan pierce brennan,alyssa maria app,chris conroy,eugene brell,george young,martina arroyo,noah averbach-katz,noel ramos,rosemary howard"
the act of killing,"anonymous,christine cynn,joshua oppenheimer",anwar congo,"adi zulkadry,anwar congo,anwars congo,haji anif,haji marzuki,herman koto,ibrahim sinik,jusuf kalla,safit pardede,sakhyan asmara,soaduon siregar,syamsul arifin,yapto soerjosoemarno"
"this is not a burial, it's a resurrection",lemohang jeremiah mosese,"aleandro florio,jerry mofokeng,makhaola ndebele,mary twala,sarah weber,silas monyatse,siphiwe nzima-ntskhe,thabiso makoto,thabo letsie,tseko monaheng",
on the waterfront,elia kazan,"karl malden,marlon brando","abe simon,arthur keegan,don blackman,james westerfield,john f. hamilton,john heldabrand,lee j. cobb,leif erickson,pat henning,rod steiger,rudy bond,tami mauriello,tony galento"
jafar panahi's taxi,jafar panahi,,jafar panahi
ida,pawel pawlikowski,"agata kulesza,agata trzebuchowska,dawid ogrodnik,jerzy trela","adam szyszkowski,afrodyta weselak,agata kulesza,agata trzebuchowska,anna grzeszczak,artur janusiak,dawid ogrodnik,dorota kuduk,halina skoczynska,izabela dabrowska,jan wociech poradowski,jerzy trela,joanna kulig,krzysztof brzezinski,lukasz jerzykowski,marek kasprzyk,mariusz jakus,natalia lagiewczyk,pawel burczyk"
beau travail,claire denis,"denis lavant,grégoire colin,michel subor","adiatou massudi,bernardo montet,dan herzberg,dimitri tsiapkinis,gianfranco poddighe,giuseppe molino,jean-yves vivet,marc veh,mickael ravovski,nicolas duvauchelle,richard courcet,thong duy nguyen"
uncut gems,"ben safdie,joshua safdie","adam sandler,deneke muhugeta,habtunu africho,idina menzel,jacob igielski,jonathan aranbayev,julia fox,keith williams richards,kevin garnett,lakeith stanfield,liang wei-hei duncan,mesfin lamengo,noa fisher,paloma elsesser,suin zhi hua-hilton,sunny wu jin zahoo,the weeknd,tommy kominik,warren finkelstein","andrea linsky,ca$h out,eric bogosian,jacob igielski,keith williams richards,lakeith stanfield,louis anthony arias,maksud agadjani,noa fisher,paloma elsesser,roman persits,sean ringgold,tommy kominik,warren finkelstein"
waltz with bashir,ari folman,"ari folman,ron ben-yishai,ronny dayag","dror harazi,gadi erel,mickey leon,ori sivan,shahar sorek,yehezkel lazarov,zahava solomon"
they shall not grow old,peter jackson,,
ex libris: the new york public library,frederick wiseman,,
secrets & lies,mike leigh,"brenda blethyn,timothy spall","brian bovell,claire perkins,claire rushbrook,elias perkins mccook,elizabeth berrington,emma amos,lee ross,lesley manville,marianne jean-baptiste,michele austin,phyllis logan,ron cook,trevor laird"
patton,franklin j. schaffner,"george c. scott,karl malden","albert dumortier,bill hickman,carey loftin,david bauer,frank latimore,james edwards,john barrie,karl michael vogler,lawrence dobkin,michael strong,morgan paull,pat zurica,stephen young"
the favourite,giorgos lanthimos,"basil eidenbenz,denise mack,emma delves,emma stone,faye daveney,isaura barbé-brown,jack veal,james smith,jennifer white,jenny rainsford,joe alwyn,john locke,lillyrose stevens,mark gatiss,nicholas hoult,olivia colman,paul swaine,rachel weisz,timothy innes,wilson radjou-pujalte","basil eidenbenz,carolyn saint-pé,edward aczel,hannah morley,horatio,isaura barbé-brown,jack veal,james melville,james smith,jenny rainsford,john locke,mark gatiss,tim ingall,timothy innes,willem dalby,wilson radjou-pujalte"
the sweet hereafter,atom egoyan,"ian holm,sarah polley","alberta watson,arsinée khanjian,bruce greenwood,caerthan banks,david hemblen,earl pastko,gabrielle rose,kirsten kieferle,maury chaykin,sarah rosen fruitman,simon baker,stephanie morgenstern,tom mccamus"
the right stuff,philip kaufman,"barbara hershey,dennis quaid,ed harris,fred ward,kim stanley,pamela reed,sam shepard,scott glenn,scott paulin,veronica cartwright","charles frank,donald moffat,lance henriksen,levon helm,mary jo deschanel"
bambi,"bill roberts,david hand,graham heid,james algar,norman wright,paul satterfield,samuel armstrong","bobette audrey,dolyn bramston cook,hardie albright,janet chapman,jeanne christy,marion darlington,peter behn,stan alexander,thelma boardman,tim davis","ann gillis,donnie dunagan,eddie holden,otis harlan,sam edwards"
flee,jonas poher rasmussen,,
bringing up baby,howard hawks,"barry fitzgerald,cary grant,charles ruggles,fritz feld,george irving,katharine hepburn,leona roberts,may robson,tala birell,walter catlett","adeline ashbury,asta,john kelly,ruth adler,virginia walker"
no country for old men,"ethan coen,joel coen","javier bardem,josh brolin,tommy lee jones","ana reeder,barry corbin,beth grant,chip love,garret dillahunt,kelly macdonald,kit gwin,rodger boyce,stephen root,tess harper,woody harrelson,zach hopkins"
the gatekeepers,dror moreh,"ami ayalon,avi dichter,avraham shalom,carmi gillon,yaakov peri,yuval diskin","ami ayalon,avi dichter,avraham shalom,carmi gillon,yaakov peri,yuval diskin"
nostalgia for the light,patricio guzmán,,"gaspar galaz,george preston,lautaro núñez,luís henríquez,miguel lawner,valentina rodríguez,vicky saaveda,víctor gonzález,violeta berrios"
david copperfield,george cukor,"basil rathbone,edna may oliver,elizabeth allan,freddie bartholomew,harry beresford,herbert mundin,hugh walpole,jessie ralph,john buckler","elsa lanchester,fay chaldecott,jean cadell,lionel barrymore,una o'connor,violet kemble cooper"
saving private ryan,steven spielberg,"matt damon,tom hanks","adam goldberg,barry pepper,dennis farina,dylan bruno,edward burns,giovanni ribisi,jeremy davies,joerg stadler,max martini,paul giamatti,ted danson,tom sizemore,vin diesel"
after hours,martin scorsese,"griffin dunne,rosanna arquette","bronson pinchot,catherine o'hara,cheech marin,dick miller,john heard,larry block,linda fiorentino,robert plunket,rocco sisto,teri garr,tommy chong,verna bloom,will patton"
her,spike jonze,"amy adams,chris pratt,joaquin phoenix,olivia wilde,rooney mara,samantha morton,scarlett johansson","alia janine,amy adams,artt butler,bill hader,brian johnson,caroline jaden stussi,cassandra starr,chris pratt,claudia choi,eric pumphrey,evelyn edwards,gabe gomez,gracie prewitt,jeremy rabb,joaquin phoenix,katherine boecher,kelly sarah,kim farris,kristen wiig,laura colquhoun,laura kai chen,laura meadows,lisa renee pitts,luka jones,lynn a. freedman,matt letscher,may lindstrom,melanie seacat,nico david,nicole grother,olivia wilde,pamela roylance,portia doubleday,rachel ann mullins,rooney mara,sam jaeger,samantha morton,samantha sarakanti,scarlett johansson,spike jonze,tiffany pulvino"
the crying game,neil jordan,"forest whitaker,jaye davidson,stephen rea","adrian dunbar,andrée bernard,birdy sweeney,breffni mckenna,jack carr,jim broadbent,joe savino,josephine white,miranda richardson,ralph brown,shar campbell,tony slattery"
great expectations,david lean,"alec guinness,bernard miles,finlay currie,francis l. sullivan,ivor barnard,jean simmons,john mills,martita hunt,tony wager,valerie hobson","eileen erskine,freda jackson,george hayes,hay petrie,john forrest"
burning,chang-dong lee,"ah in yoo,bok-gi min,hye-ra ban,ja-yeon ok,jong-seo jeon,joong-ok lee,mi-kyung cha,moon sung-keun,seong-kun mun,seung-ho choi,soo-jeong lee,soo-kyung kim,steven yeun","bong-ryeon lee,ja-yeon ok,joong-ok lee,seok-chan jeon,wonhyeong jang"
winter's bone,debra granik,"garret dillahunt,jennifer lawrence,john hawkes","ashlee thompson,beth domann,casey maclaren,cody brown,dale dickey,isaiah stone,kevin breznahan,lauren sweetser,shelley waggener,tate taylor,valerie richards,william white"
hope,maria sødahl,"alfred vatne,andrea bræin hovig,daniel storm forthun sandbye,dina enoksen elvehaug,einar økland,eirik hallert,elli rhiannon müller osbourne,gjertrud l. jynge,steinar klouman hallert,stellan skarsgård","alexander mørk eidem,ingrid bugge,johannes joner,kristin voss hestvold,terje auli"
gett: the trial of viviane amsalem,"ronit elkabetz,shlomi elkabetz",,"abraham celektar,albert iluz,dalia beger,david ohayon,eli gornstein,evelin hagoel,gabi amrani,keren mor,menashe noy,rami danon,roberto pollack,ronit elkabetz,sasson gabai,shmil ben ari,simon abkarian"
i called him morgan,kasper collin,,"al harrison,albert tootie heath,bennie maupin,billy harper,charli persip,helen morgan,judith johnson,jymie merritt,larry reni thomas,larry ridley,lee morgan,lena sherrod,paul west,ron st. clair,wayne shorter"
close encounters of the third kind,steven spielberg,"françois truffaut,richard dreyfuss,teri garr","adrienne campbell,bob balaban,cary guffey,j. patrick mcnamara,justin dreyfuss,lance henriksen,melinda dillon,merrill connally,philip dodds,roberts blossom,shawn bishop,warren j. kemmerling"
the godfather: part ii,francis ford coppola,"al pacino,diane keaton,robert de niro,robert duvall","bruno kirby,francesca de sapio,frank sivero,g.d. spradlin,gastone moschin,john cazale,lee strasberg,michael v. gazzo,richard bright,talia shire,tom rosqui"
the hustler,robert rossen,"clifford a. pellow,george c. scott,jackie gleason,jake lamotta,michael constantine,murray hamilton,myron mccormick,paul newman,piper laurie,stefan gierasch","alexander rose,carl york,carolyn coates,gordon b. clarke,vincent gardenia"
