MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
spider-man: into the spider-verse,"bob persichetti,peter ramsey,rodney rothman","brian tyree henry,chris pine,hailee steinfeld,jake m. johnson,john mulaney,kathryn hahn,kimiko glenn,lauren vélez,liev schreiber,lily tomlin,mahershala ali,melanie haynes,muneeb rehman,nick jaine,nicolas cage,oscar isaac,shameik moore,stan lee,zoë kravitz","alycia cooper,brian tyree henry,chris pine,jessica mikayla adams,john mulaney,kathryn hahn,kimiko glenn,liev schreiber,lily tomlin,mahershala ali,melanie haynes,muneeb rehman,natalie morales,natalie morales,nick jaine,nicolas cage,shameik moore"
the wicker man,robin hardy,"aubrey morris,britt ekland,christopher lee,diane cilento,edward woodward,ingrid pitt,irene sunters,lindsay kemp,russell waters,walter carr","barbara rafferty,ian campbell,leslie blackater,peter brewis,roy boyd"
love & friendship,whit stillman,"chloë sevigny,emma greenwell,kate beckinsale,xavier samuel","chloë sevigny,conor lambert,conor macneill,emma greenwell,frank prendergast,james fleet,jemma redgrave,jenn murray,jordan waller,justin edwards,kate beckinsale,kelly campbell,lochlainn o'mearain,morfydd clark,ross mac mahon,sophie radermacher,stephen fry,tom bennett,xavier samuel"
particle fever,mark levinson,,"albert de roeck,andy cohen,asmina arvanitaki,christophe clement,david kaplan,fabiola gianotti,james beacham,jed biesiada,katherine copic,kyle cranmer,martin aleksa,mike lamont,monica dunford,nima arkani-hamed,savas dimopoulos"
tarnation,jonathan caouette,jonathan caouette,"adolph davis,dagon james,david leblanc,david sanin paz,greg ayres,joshua williams,michael cox,michael mouton,renee leblanc,rosemary davis,stacey mowery,steve caouette,vanda stovall,vivian kalinov"
microcosmos,"claude nuridsany,marie pérennou","jacques perrin,kristin scott thomas",
murderball,"dana adam shapiro,henry alex rubin","joe soares,keith cavill,mark zupan","andy cohn,bob lujano,christopher igoe,dave willsie,joe bishop,kevin orr,scott hogsett"
life itself,"steve james,steve james","chaz ebert,errol morris,gene siskel,martin scorsese,roger ebert,werner herzog","a.o. scott,ava duvernay,chaz ebert,errol morris,gene siskel,marlene iglitzen,marlene siskel,martin scorsese,ramin bahrani,roger ebert,stephen stanton,werner herzog,william nack"
the shape of water,guillermo del toro,"cyndy day,david hewlett,doug jones,john kapelos,lauren lee smith,michael shannon,michael stuhlbarg,morgan kelly,nick searcy,nigel bennett,octavia spencer,richard jenkins,sally hawkins,stewart arnott","allegra fulton,amanda smith,cyndy day,david hewlett,doug jones,dru viergever,evgeny akimov,jayden greig,john kapelos,lauren lee smith,madison ferguson,martin roach,marvin kaye,maxine grossman,michael shannon,michael stuhlbarg,morgan kelly,nick searcy,octavia spencer,richard jenkins,sally hawkins"
rewind,sasha joseph neulinger,,
shine,scott hicks,"armin mueller-stahl,geoffrey rush","alex rafalowicz,chris haywood,danielle cox,gordon poole,john cousins,justin braine,marta kaczmarek,nicholas bell,noah taylor,paul linkson,randall berger,rebecca gooden,sonia todd"
bisbee '17,robert greene,"aaron gain,annie graeme-larkin,benjamin joel caron,charles bethea,chris dietz,dick graeme,doug graeme,james west,ken boe,mary ellen dunlap,mike anderson,richard graeme iii","annie graeme-larkin,laurie mckenna,mel ray,richard hodges,steve ray,sue ray"
grizzly man,werner herzog,"amie huguenard,timothy treadwell","carol dexter,david letterman,franc g. fallico,jewel palovak,kathleen parker,marc gaede,marnie gaede,sam egli,sven haakanson jr.,val dexter,warren queeney,werner herzog,willy fulton"
adam's rib,george cukor,"clarence kolb,david wayne,emerson treacy,eve march,hope emerson,jean hagen,judy holliday,katharine hepburn,spencer tracy,tom ewell","bonnie bannon,charles bastin,elizabeth flournoy,polly moran,will wright"
gregory crewdson: brief encounters,ben shapiro,,"gregory crewdson,richard 'rico' sands"
moneyball,bennett miller,"brad pitt,jonah hill,robin wright","adrian bellani,chris pratt,erin pickett,glenn morshower,james shanklin,kathryn morris,keith middlebrook,olivia dudley,philip seymour hoffman,sergio garcia,stephen bishop,tammy blanchard"
the autobiography of nicolae ceausescu,andrei ujica,,"charles de gaulle,edward gierek,elena ceausescu,erich honecker,jimmy carter,kim ir-sen,leonid brezhnev,mao zedong,mikhail gorbachev,nicolae ceausescu,prince philip,queen elizabeth ii,richard nixon,wladyslaw gomulka,wojciech jaruzelski"
all about my mother,pedro almodóvar,"cecilia roth,marisa paredes","antonia san juan,candela peña,carlos lozano,carmen balagué,eloy azorín,fernando fernán gómez,fernando guillén,josé luis torrijo,juan josé otegui,manuel morón,penélope cruz,rosa maria sardà,toni cantó"
the english patient,anthony minghella,"juliette binoche,kristin scott thomas,ralph fiennes,willem dafoe","clive merrison,colin firth,geordie johnson,hichem rostom,julian wadham,jürgen prochnow,kevin whately,naveen andrews,nino castelnuovo,peter rühring,torri higginson"
the duke of burgundy,peter strickland,"monica swinn,sidse babett knudsen","chiara d'anna,eszter tompa,eugenia caruso,fatma mohamed,kata bartsch,monica swinn,sidse babett knudsen,zita kraszkó"
my golden days,arnaud desplechin,"cécile garcia-fogel,dinara drukarova,lou roy-lecollinet,mathieu amalric,quentin dolmaire","cécile garcia-fogel,clémence le gall,dinara drukarova,elyot milshtein,françoise lebrun,irina vavilova,kheifets gregory,lily taieb,lou roy-lecollinet,mathieu amalric,olivier rabourdin,pierre andrau,quentin dolmaire,raphaël cohen,théo fernandez"
nebraska,alexander payne,"bob odenkirk,bruce dern,june squibb,stacy keach,will forte","angela mcewan,anthony g. schmidt,bob odenkirk,bruce dern,dennis mccoig,devin ratray,elizabeth moore,gelndora stitt,june squibb,kevin kunkel,mary louise wilson,melinda simonsen,missy doty,rance howard,ronald vosta,stacy keach,stephen clayton,tim driscoll,will forte"
what the constitution means to me,marielle heller,"heidi schreck,mike iveson,rosdely ciprian,thursday williams",
a tale of two cities,"jack conway,robert z. leonard","basil rathbone,blanche yurka,donald woods,edna may oliver,elizabeth allan,fritz leiber,henry b. walthall,reginald owen,ronald colman,walter catlett","billy bevan,claude gillingwater,h.b. warner,isabel jewell,mitchell lewis"
force majeure,ruben östlund,"clara wettergren,johannes kuhnke,kristofer hivju,lisa loven kongsli,vincent wettergren","adrian heinisch,brady corbet,clara wettergren,fanni metelius,franco moscon,jakob granqvist,johannes kuhnke,johannes moustos,jorge lattof,julie roumogoux,karin myrenberg,karl pincon,kristofer hivju,lisa loven kongsli,malin dahl,michael breitenberger,peter gaunt,vincent wettergren"
tampopo,jûzô itami,"ken watanabe,nobuko miyamoto,tsutomu yamazaki","fukumi kuroda,hideji ôtaki,kinzô sakura,kôji yakusho,mario abe,masahiko tsugawa,rikiya yasuoka,sen hara,setsuko shinoi,yoriko douguchi,yoshi katô,yoshihiro kato"
blow out,brian de palma,"dennis franz,john lithgow,john travolta,nancy allen","cindy manion,curt may,deborah everton,j. patrick mcnamara,john aquino,john mcmartin,lori-nan engler,missy cleveland,missy crutchfield,peter boyden,roger wilson"
diane,kent jones,"andrea martin,andrew geher,celia keenan-bolger,dave dyshuk,deirdre o'connell,diana greenhut,dierdre friel,estelle parsons,glynnis o'connor,jake lacy,jennifer delora,joyce van patten,kerry flanagan,lew gardner,lorenzo beronilla,mary fuller,mary kay place,phyllis somerville,teri gibson","cara yeates,david tuttle,jenny kirlin,joe james,laura knight,marcia haufrecht,mike hartman,patrick husted,ray iannicelli"
the magician,ingmar bergman,"bengt ekerot,bibi andersson,erland josephson,gertrud fridh,gunnar björnstrand,ingrid thulin,lars ekborg,max von sydow,naima wifstrand,toivo pawlo","åke fridell,axel düberg,oscar ljung,sif ruud,ulla sjöblom"
the thin man,w.s. van dyke,"cesar romero,harold huber,henry wadsworth,maureen o'sullivan,minna gombell,myrna loy,nat pendleton,porter hall,william henry,william powell","asta,cyril thornton,edward brophy,edward ellis,natalie moorhead"
russian ark,aleksandr sokurov,,"aleksandr chaban,alla osipenko,artyom strelnikov,david giorgobiani,leonid mozgovoy,lev yeliseyev,maksim sergeyev,mariya kuznetsova,mikhail piotrovsky,natalya nikulenko,oleg khmelnitsky,sergei dontsov,tamara kurenkova,yelena rufanova,yelena spiridonova"
point blank,john boorman,"angie dickinson,carroll o'connor,james sikking,john vernon,keenan wynn,lee marvin,lloyd bochner,michael strong,sandra warner,sharon acker","kathleen freeman,lawrence hauben,roberta haynes,susan holloway,victor creatore"
lincoln,steven spielberg,daniel day-lewis,"adam driver,bruce mcgill,daniel day-lewis,david costabile,david oyelowo,david strathairn,hal holbrook,jackie earle haley,james spader,jared harris,john hawkes,joseph cross,joseph gordon-levitt,julie white,lee pace,michael stuhlbarg,peter mcrobbie,sally field,tim blake nelson,tommy lee jones,walton goggins"
the wolf house,"cristóbal león,joaquín cociña","amalia kassai,rainer krause",
an elephant sitting still,bo hu,"congxi li,jing guo,miaomiao he,uvin wang,wei kong,xiang rong dong,ximan huang,yu zhang,yuchang peng,zhao-yan guo-zhang","binyuan li,danyi li,qing li,suyun li,yixin kong"
room,lenny abrahamson,"brie larson,jacob tremblay","amanda brugel,brad wietersen,brie larson,cas anvar,chantelle chung,jack fulton,jacob tremblay,jee-yun lee,joan allen,joe pingue,justin mader,kate drummond,matt gordon,megan park,randal edwards,sandy mcmaster,sean bridgers,tom mccamus,wendy crewson,william h. macy,zarrin darnell-martin"
the tillman story,amir bar-lev,pat tillman,"pat tillman,richard tillman"
the wind will carry us,abbas kiarostami,,"ali reza naderi,bahman ghobadi,behzad dorani,farzad sohrabi,frangis rahsepar,lida soltani,masoameh salimi,masood mansouri,noghre asadi,reihan heidari,roushan karam elmi,shahpour ghobadi"
the remains of the day,james ivory,"anthony hopkins,emma thompson","abigail hopkins,ben chaplin,caroline hunt,christopher reeve,hugh grant,james fox,john haycraft,patrick godfrey,paula jacobs,peter cellier,peter halliday,peter vaughan,steve dibben"
"sex, lies, and videotape",steven soderbergh,"andie macdowell,james spader","alexandra root,david foil,earl t. taylor,laura san giacomo,peter gallagher,ron vawter,steven brill"
dog day afternoon,sidney lumet,"al pacino,amy levitt,beulah garrick,carol kane,john cazale,john marriott,marcia jean kurtz,penelope allen,sandra kazan,sully boyar","carmine foresta,charles durning,estelle omens,gary springer,james broderick"
